Delta Size,Scan Latency
0,0.210
21303,0.4950687885284424
27310,0.46712708473205566
32834,0.359220027923584
38386,0.32158994674682617
44052,0.4195520877838135
51299,0.6941790580749512
56458,0.3479177951812744
61922,0.3365499973297119
68718,0.4830198287963867
74780,0.3407101631164551
81051,0.4153480529785156
86946,0.3593299388885498
93450,0.4342617988586426
99416,0.3953862190246582
105242,0.4123191833496094
111974,0.554069995880127
118436,0.5198309421539307
124286,0.5745408535003662
130953,0.6182289123535156
137803,0.6912000179290771
143946,0.5101916790008545
150050,0.4597592353820801
157435,0.6881132125854492
164514,0.5926790237426758
171266,0.7007501125335693
177714,0.6401150226593018
185017,0.8605999946594238
191252,1.1026649475097656
198384,1.1405739784240723
204684,1.11130690574646
211761,0.8397119045257568
218919,0.773857831954956
227237,0.914665937423706
234106,0.7035651206970215
242087,0.8554351329803467
248807,0.7812628746032715
257237,1.425678014755249
263889,0.8912968635559082
275196,2.4018218517303467
284669,2.0431158542633057
292642,1.4945709705352783
300880,1.0559070110321045
309428,1.5215129852294922
318646,1.3642423152923584
328586,2.223780870437622
338255,1.6319961547851562
348409,1.7073369026184082
356536,2.0583229064941406
370003,4.000691890716553
378670,2.362910032272339
387758,1.9384231567382812
397797,2.4989960193634033
406062,2.8737499713897705
415549,2.9991438388824463
424820,1.9328429698944092
433962,2.429704189300537
442389,4.595163106918335
450266,4.034605979919434
456973,3.467939853668213
464218,2.1925711631774902
470317,3.2098021507263184
478639,2.725433111190796
485545,4.498656749725342
491625,2.6579792499542236
497191,4.306742906570435
502021,2.794382095336914
507567,4.31685996055603
512114,2.8500819206237793
522820,4.574301242828369
527140,3.4863080978393555
535764,5.796377658843994
541878,4.571108102798462
547498,3.9453818798065186
554144,4.780179023742676
564532,6.312527894973755
573957,3.6542580127716064
581488,4.223979949951172
590661,4.534011125564575
598462,4.167601108551025
612270,6.311934947967529
619765,4.119771242141724
627939,4.12727689743042
636259,3.742767810821533
644514,4.1233439445495605
653421,4.139050245285034
661783,4.8537750244140625
