Delta Size,Scan Latency
34504,3.8609111309051514
56525,4.030598878860474
78284,4.228080749511719
101315,4.549243927001953
123916,3.946138858795166
147442,4.204783916473389
171080,4.204703092575073
196248,4.342871189117432
221051,4.384195804595947
246959,5.324484825134277
274060,6.013154029846191
301054,5.663449048995972
328516,5.264042139053345
354946,5.0243189334869385
