Time,Lag
10.193252801895142,3
11.501832962036133,2
12.643404722213745,3
13.762012004852295,2
14.8521409034729,2
15.960886716842651,3
17.058488845825195,3
18.141762733459473,3
19.36906599998474,2
20.616837978363037,3
21.708090782165527,3
22.843957662582397,2
23.95924210548401,2
25.031755685806274,3
26.132834911346436,3
27.351145029067993,2
28.543174982070923,3
29.75943398475647,2
30.830687046051025,3
31.935962915420532,3
33.09660983085632,3
34.198012828826904,3
35.29689407348633,4
36.39064288139343,3
37.67041897773743,3
38.85919904708862,3
39.94908690452576,4
41.14074993133545,3
42.32669973373413,2
43.42832374572754,4
44.54838299751282,4
45.7739098072052,3
46.8598370552063,4
48.07548689842224,4
49.2863187789917,3
50.36510491371155,4
51.51811194419861,4
52.66210103034973,3
53.804011821746826,4
55.1135687828064,4
56.30302596092224,3
57.531609773635864,4
58.66844177246094,4
59.7659809589386,5
61.26754689216614,4
62.38299298286438,5
63.726608991622925,5
64.87989377975464,6
65.98724675178528,7
67.23842787742615,4
68.35594987869263,5
69.49875783920288,4
70.83077383041382,3
71.96721291542053,4
73.39435601234436,4
74.5344078540802,6
75.69840383529663,4
76.80480790138245,5
78.02709889411926,4
79.1746199131012,5
80.38908195495605,3
81.5132827758789,5
82.70711302757263,5
83.84517574310303,6
85.13398575782776,4
86.22571778297424,5
87.42646479606628,4
88.54421877861023,6
89.78649592399597,5
90.90765190124512,6
92.31140470504761,4
93.42963576316833,5
94.66428875923157,4
95.82087874412537,5
96.94193172454834,6
98.161288022995,4
99.29922389984131,5
100.44917106628418,4
101.6684799194336,6
102.8577229976654,4
104.00297975540161,5
105.18413591384888,6
106.52664399147034,5
107.84169888496399,7
109.01045203208923,8
110.2753279209137,5
111.47582292556763,6
112.64543175697327,8
113.88100695610046,5
115.27412271499634,6
116.43199896812439,7
117.60822296142578,9
118.82493495941162,6
120.02424573898315,7
121.21881294250488,8
122.83156490325928,5
124.14597296714783,7
125.40387892723083,8
126.54126381874084,10
127.78557968139648,6
129.00331282615662,7
130.16842603683472,8
131.45797681808472,4
132.9760468006134,6
134.3565399646759,7
135.51903176307678,9
136.77981901168823,6
137.95399475097656,7
139.13941383361816,8
140.3257818222046,9
141.5257270336151,7
142.71496987342834,8
143.8835527896881,9
145.12828874588013,5
146.33769488334656,6
147.5344798564911,8
148.69782400131226,9
149.90053367614746,6
151.3206808567047,7
152.51045680046082,9
153.80833387374878,6
155.35493683815002,7
156.71043801307678,9
157.86836194992065,10
159.26251983642578,6
160.54055976867676,7
161.73467779159546,9
162.9294888973236,10
164.1956160068512,6
165.41861987113953,7
166.66451287269592,9
167.85562181472778,10
169.21614480018616,6
170.51277804374695,7
171.6803228855133,9
172.84653282165527,10
174.0898368358612,6
175.39743280410767,7
176.57102179527283,9
177.86763381958008,5
179.06205987930298,6
180.22168588638306,7
181.45260500907898,8
182.89406180381775,6
184.15252780914307,7
185.31706500053406,8
186.78297185897827,5
188.09001684188843,7
189.29222583770752,8
190.54973912239075,5
191.78058767318726,7
192.95101594924927,8
194.2451868057251,4
195.50613379478455,5
196.7333128452301,7
197.91337084770203,8
199.19567584991455,5
200.460294008255,6
201.6130998134613,8
202.86699604988098,5
204.085923910141,6
205.25621581077576,7
206.72298789024353,4
208.31103086471558,6
