Time,Scan
26.84350275993347,16.830262899398804
35.15886902809143,7.305685043334961
42.71865177154541,6.5467469692230225
47.71167778968811,3.9822590351104736
54.01163077354431,5.289160966873169
59.047849893569946,4.03068208694458
62.53178071975708,2.2653121948242188
65.90208983421326,2.3616371154785156
68.8348639011383,1.9260787963867188
71.61067700386047,1.7723181247711182
76.19608402252197,3.5761799812316895
81.04140496253967,3.771937847137451
84.5598509311676,2.508941650390625
88.59226083755493,3.0268049240112305
91.01711678504944,1.4148468971252441
94.54784369468689,2.5251781940460205
97.19508504867554,1.6346511840820312
99.79898977279663,1.5979928970336914
101.92375183105469,1.1214382648468018
103.90769791603088,0.9772989749908447
105.85637187957764,0.944195032119751
107.77423000335693,0.911160945892334
109.70858597755432,0.9273681640625
111.69349980354309,0.9784700870513916
114.75353384017944,2.054791212081909
117.01527404785156,1.258476972579956
119.55984592437744,1.5418281555175781
121.63352990150452,1.067922830581665
124.03387379646301,1.3976860046386719
125.8727548122406,0.8370611667633057
127.82693099975586,0.948387861251831
129.78588390350342,0.953355073928833
131.82931995391846,1.0394999980926514
