Time,Scan
11.525344848632812,1.5194449424743652
13.402504920959473,0.8735079765319824
15.22472596168518,0.8167579174041748
17.168652772903442,0.9414987564086914
20.07767677307129,1.9036610126495361
21.78817892074585,0.7053320407867432
23.44901990890503,0.6560640335083008
25.136489868164062,0.6837589740753174
26.851281881332397,0.7104740142822266
28.668112754821777,0.8107390403747559
30.49266481399536,0.8184561729431152
32.45212483406067,0.9529709815979004
34.51203775405884,1.0543529987335205
36.5032958984375,0.9834728240966797
38.61223077774048,1.1033892631530762
40.83294892311096,1.208296298980713
43.155139684677124,1.3152179718017578
45.73974871635437,1.5812749862670898
47.75778794288635,1.013612985610962
49.85254669189453,1.0914311408996582
51.90166878700256,1.0433640480041504
54.0620059967041,1.151015281677246
56.227717876434326,1.1612732410430908
58.59595704078674,1.3643290996551514
61.46090078353882,1.8587477207183838
63.89878582954407,1.434473991394043
66.83128190040588,1.929002046585083
69.84447884559631,2.0060579776763916
73.09738802909851,2.250066041946411
75.68298387527466,1.580003023147583
78.38689279556274,1.6999988555908203
81.29702401161194,1.904736042022705
84.20244669914246,1.899336338043213
87.10641384124756,1.8986399173736572
90.19003176689148,2.0782721042633057
93.44849991798401,2.254201889038086
97.51911187171936,3.0673999786376953
102.7957239151001,4.268571138381958
106.39678573608398,2.5937869548797607
109.99967002868652,2.5957372188568115
114.01629185676575,3.0133161544799805
117.96034479141235,2.939774990081787
122.32480096817017,3.350637912750244
